role_archetype,count,mean_pts,median_pts,std_pts,floor_p10,ceiling_p90,avg_batting,avg_bowling,avg_fielding,batting_pct,bowling_pct,fielding_pct
Batting All-Rounder,64,76.890625,67.0,56.55033358146178,13.500000000000004,167.7,40.078125,28.78125,3.0625,52.1,37.4,4.0
Pure Opener,268,72.34328358208955,65.0,56.50714773356509,10.0,150.90000000000003,62.38805970149254,0.0,3.5074626865671643,86.2,0.0,4.8
Top-Order Bat,132,66.37878787878788,52.0,57.46841552759542,7.100000000000001,145.8,55.53030303030303,0.0,4.5,83.7,0.0,6.8
Pure Bowler,600,53.788333333333334,46.0,39.483478896011356,8.0,109.30000000000007,2.5933333333333333,46.115,2.09,4.8,85.7,3.9
Middle-Order Bat,217,51.8294930875576,43.0,38.84338754228792,13.0,106.60000000000002,42.60829493087557,0.004608294930875576,3.3640552995391704,82.2,0.0,6.5
Bowling All-Rounder,51,42.03921568627451,36.0,32.826185148027015,6.0,85.0,18.372549019607842,17.235294117647058,3.2941176470588234,43.7,41.0,7.8
Lower-Order Bat,157,41.560509554140125,33.0,34.03963330642865,6.0,86.80000000000001,31.388535031847134,0.01910828025477707,4.573248407643312,75.5,0.0,11.0
Tail/Part-Timer,52,26.96153846153846,15.5,25.01055584086607,5.0,58.699999999999996,15.23076923076923,5.0,2.8461538461538463,56.5,18.5,10.6
