player,matches_2025,total_pts_2025,avg_pts_2025,median_pts_2025,std_pts_2025,floor_p10_2025,ceiling_p90_2025,avg_batting_pts,avg_bowling_pts,avg_fielding_pts,team_2025,typical_bat_pos_2025,avg_overs_bowled_2025
MP Stoinis,12,408,34.0,23.0,30.1,7.2,76.0,24.5,4.3,0.7,Punjab Kings,7.0,1.2
MP Yadav,2,102,51.0,51.0,43.8,26.2,75.8,0.0,43.0,8.0,Lucknow Super Giants,,4.0
MR Marsh,13,1279,98.4,112.0,70.0,3.2,164.4,90.8,0.0,0.6,Lucknow Super Giants,2.0,0.0
MS Bhandage,3,29,9.7,12.0,4.0,6.4,12.0,0.3,0.0,5.3,Royal Challengers Bengaluru,8.0,0.0
MS Dhoni,14,530,37.9,29.5,29.1,8.6,77.3,23.7,0.0,9.0,Chennai Super Kings,7.0,0.0
Mohammed Shami,9,282,31.3,38.0,28.0,0.8,56.0,1.6,26.7,1.8,Sunrisers Hyderabad,10.0,3.3
Mohammed Siraj,15,792,52.8,41.0,50.4,5.0,120.4,0.2,46.9,2.7,Gujarat Titans,11.0,3.8
Mujeeb Ur Rahman,1,32,32.0,32.0,,32.0,32.0,0.0,34.0,0.0,Mumbai Indians,,2.0
Mukesh Choudhary,2,49,24.5,24.5,29.0,8.1,40.9,0.0,24.5,0.0,Chennai Super Kings,,3.0
Mukesh Kumar,12,520,43.3,37.5,45.5,7.0,71.3,0.0,40.8,0.7,Delhi Capitals,,3.3
Musheer Khan,1,29,29.0,29.0,,29.0,29.0,0.0,31.0,0.0,Punjab Kings,8.0,2.0
Mustafizur Rahman,3,159,53.0,44.0,49.1,16.0,93.6,0.0,49.0,0.0,Delhi Capitals,11.0,3.7
N Pooran,14,1206,86.1,78.5,66.9,22.3,181.7,74.3,0.0,4.6,Lucknow Super Giants,3.0,0.0
N Rana,11,491,44.6,21.0,56.1,12.0,109.0,38.1,0.0,1.5,Rajasthan Royals,3.0,0.2
N Thushara,1,54,54.0,54.0,,54.0,54.0,0.0,48.0,0.0,Royal Challengers Bengaluru,,4.0
N Wadhera,15,782,52.1,25.0,42.6,16.8,108.0,43.1,0.1,3.2,Punjab Kings,5.0,0.1
NT Ellis,1,48,48.0,48.0,,48.0,48.0,0.0,44.0,0.0,Chennai Super Kings,,4.0
Naman Dhir,14,646,46.1,40.0,31.6,14.4,90.9,31.7,0.6,7.1,Mumbai Indians,7.0,0.3
Nithish Kumar Reddy,13,473,36.4,37.0,21.7,7.2,61.6,21.5,5.9,4.2,Sunrisers Hyderabad,4.0,0.4
Noor Ahmad,14,996,71.1,52.5,50.3,26.9,145.1,0.5,65.4,1.1,Chennai Super Kings,10.0,3.6
P Dubey,2,48,24.0,24.0,17.0,14.4,33.6,0.0,17.0,4.0,Punjab Kings,,1.0
P Simran Singh,18,1293,71.8,59.5,55.4,14.0,159.6,62.9,0.0,1.6,Punjab Kings,2.0,0.0
PD Salt,13,959,73.8,66.0,49.7,20.0,139.6,60.8,0.0,5.8,Royal Challengers Bengaluru,1.0,0.0
PHKD Mendis,5,257,51.4,56.0,46.5,4.2,98.2,28.4,15.8,1.6,Sunrisers Hyderabad,7.0,1.4
PJ Cummins,14,869,62.1,65.0,51.7,5.8,126.7,11.6,44.7,2.9,Sunrisers Hyderabad,8.0,3.6
PVD Chameera,6,164,27.3,37.5,19.3,2.5,42.0,1.7,24.0,1.3,Delhi Capitals,9.0,2.8
PVSN Raju,2,45,22.5,22.5,13.4,14.9,30.1,0.5,17.0,4.0,Mumbai Indians,11.0,2.0
PWA Mulder,1,26,26.0,26.0,,26.0,26.0,13.0,1.0,8.0,Sunrisers Hyderabad,9.0,1.0
PWH de Silva,11,480,43.6,39.0,44.8,5.0,72.0,0.6,37.9,2.0,Rajasthan Royals,6.0,3.7
Prince Yadav,6,210,35.0,31.0,26.3,10.5,63.5,0.8,26.2,5.7,Lucknow Super Giants,9.0,3.8
Priyansh Arya,18,1221,67.8,51.0,59.5,12.0,147.3,57.2,0.0,3.6,Punjab Kings,1.0,0.0
Q de Kock,8,338,42.2,13.0,67.9,5.0,100.0,34.8,0.0,3.0,Kolkata Knight Riders,1.0,0.0
R Ashwin,9,364,40.4,40.0,26.8,12.4,70.2,5.7,29.7,2.7,Chennai Super Kings,4.0,3.4
R Minz,2,14,7.0,7.0,0.0,7.0,7.0,3.0,0.0,0.0,Mumbai Indians,5.0,0.0
R Parag,14,999,71.4,65.5,52.0,25.9,85.8,51.1,8.6,5.0,Rajasthan Royals,4.0,1.4
R Powell,2,25,12.5,12.5,0.7,12.1,12.9,4.5,0.0,4.0,Kolkata Knight Riders,8.0,0.0
R Ravindra,8,369,46.1,39.5,42.6,7.7,89.8,38.6,0.0,2.0,Chennai Super Kings,1.0,0.0
R Sai Kishore,15,758,50.5,44.0,32.4,6.4,82.2,0.3,44.5,2.1,Gujarat Titans,10.0,2.8
R Shepherd,7,415,59.3,46.0,40.6,26.0,104.8,20.3,30.7,4.6,Royal Challengers Bengaluru,7.0,2.0
R Tewatia,14,259,18.5,16.0,12.9,7.2,29.9,11.5,0.0,2.3,Gujarat Titans,6.0,0.0
RA Bawa,5,58,11.6,12.0,0.9,10.8,12.0,1.6,0.0,6.0,Mumbai Indians,7.0,0.0
RA Jadeja,14,1016,72.6,78.5,46.3,15.4,127.1,35.9,27.5,3.9,Chennai Super Kings,4.0,2.7
RA Tripathi,5,113,22.6,24.0,14.8,8.8,37.0,17.0,0.0,1.6,Chennai Super Kings,3.0,0.0
RD Chahar,1,6,6.0,6.0,,6.0,6.0,0.0,2.0,0.0,Sunrisers Hyderabad,,1.0
RD Gaikwad,5,276,55.2,13.0,62.9,7.0,124.2,44.8,0.0,4.8,Chennai Super Kings,3.0,0.0
RD Rickelton,14,994,71.0,61.5,39.2,31.2,127.7,52.1,0.0,12.7,Mumbai Indians,1.0,0.0
RG Sharma,15,878,58.5,35.0,58.0,13.8,152.0,52.5,0.0,0.5,Mumbai Indians,1.0,0.0
RJ Gleeson,1,43,43.0,43.0,,43.0,43.0,0.0,43.0,0.0,Mumbai Indians,,3.5
RJW Topley,1,12,12.0,12.0,,12.0,12.0,0.0,6.0,8.0,Mumbai Indians,,3.0
RK Singh,11,498,45.3,39.0,25.6,27.0,72.0,32.5,0.0,7.5,Kolkata Knight Riders,6.0,0.0
RM Patidar,14,624,44.6,28.5,35.6,15.5,95.7,38.0,0.0,1.1,Royal Challengers Bengaluru,4.0,0.0
RR Pant,14,601,42.9,23.5,62.6,6.0,95.6,34.4,0.0,4.1,Lucknow Super Giants,4.0,0.0
Rahmanullah Gurbaz,5,184,36.8,25.0,31.7,8.2,71.2,28.0,0.0,3.2,Kolkata Knight Riders,1.0,0.0
Ramandeep Singh,7,151,21.6,18.0,15.1,6.8,37.2,10.4,0.0,6.3,Kolkata Knight Riders,8.0,0.0
Rashid Khan,15,552,36.8,29.0,32.6,4.4,73.0,4.3,25.9,3.6,Gujarat Titans,7.0,3.7
Rasikh Salam,2,52,26.0,26.0,29.7,9.2,42.8,0.0,22.0,4.0,Royal Challengers Bengaluru,,3.0
Ravi Bishnoi,12,443,36.9,30.0,28.3,5.7,74.1,2.1,29.5,3.3,Lucknow Super Giants,8.0,3.1
S Dube,14,700,50.0,44.0,26.4,19.8,78.7,43.1,0.1,2.3,Chennai Super Kings,4.0,0.1
SA Yadav,16,1495,93.4,90.0,31.8,57.5,136.5,82.8,0.0,3.0,Mumbai Indians,4.0,0.0
SB Dubey,8,238,29.8,21.5,24.3,9.2,61.3,23.2,0.0,1.0,Rajasthan Royals,7.0,0.0
SE Rutherford,11,595,54.1,62.0,28.3,17.0,82.0,46.3,0.0,0.7,Gujarat Titans,4.0,0.0
SH Johnson,4,76,19.0,13.0,20.8,4.3,38.5,0.5,16.0,2.0,Kolkata Knight Riders,10.0,2.8
SK Rasheed,5,151,30.2,27.0,24.2,11.2,52.6,24.2,0.0,1.6,Chennai Super Kings,1.0,0.0
SM Curran,5,288,57.6,22.0,72.7,14.4,131.0,41.2,9.6,4.8,Chennai Super Kings,3.0,2.4
SN Thakur,10,541,54.1,48.5,42.5,13.6,94.8,2.8,47.1,3.2,Lucknow Super Giants,7.0,3.4
SO Hetmyer,14,571,40.8,33.5,29.5,12.9,81.8,27.9,0.0,7.9,Rajasthan Royals,6.0,0.0
SP Narine,12,1093,91.1,70.5,68.2,20.3,186.0,40.2,40.8,3.0,Kolkata Knight Riders,2.0,3.8
SS Iyer,17,1298,76.4,58.0,67.6,10.0,181.2,66.6,0.0,3.3,Punjab Kings,3.0,0.0
SV Samson,9,595,66.1,69.0,38.9,24.6,113.6,55.4,0.0,4.9,Rajasthan Royals,2.0,0.0
