player,rank,tier,cliff,pct_drop,matches,modal_role,pred_pts_per_match,pred_season_total,mean_pts,median_pts,std_pts,floor_p10,ceiling_p90,cv,dud_rate,boom_rate,expected_games,games_confidence,batting_pts_pct,bowling_pts_pct,prev_total,gap,team_2025,typical_bat_pos,avg_overs_bowled
Ramandeep Singh,109,8,False,0.6,7,Tail,35.039274582523134,175.0,21.571428571428573,18.0,15.10912685384944,6.800000000000001,37.2,0.7,0.43,0.0,5.0,Low,48.3,0.0,176.0,1.0,Kolkata Knight Riders,8.0,0.0
Suyash Sharma,110,8,False,0.6,14,Pure Bowler,15.830621248068631,174.0,32.285714285714285,15.5,38.13423370437356,5.2,76.70000000000005,1.18,0.43,0.14,11.0,Medium,0.0,87.2,175.0,1.0,Royal Challengers Bengaluru,,3.6
Abishek Porel,111,8,False,0.6,13,Opener,17.304018368997745,173.0,49.15384615384615,62.0,29.07990759340589,15.2,81.80000000000001,0.59,0.08,0.54,10.0,Medium,81.2,0.0,174.0,1.0,Delhi Capitals,3.0,0.0
A Manohar,112,8,False,6.4,7,Lower Middle Bat,32.33335823050757,162.0,25.571428571428573,18.0,27.43390325161637,7.2,52.00000000000002,1.07,0.43,0.14,5.0,Low,53.1,0.0,173.0,11.0,Sunrisers Hyderabad,7.0,0.0
RA Bawa,113,8,False,2.5,5,Unknown,31.545371668945243,158.0,11.6,12.0,0.8944271909999157,10.8,12.0,0.08,1.0,0.0,5.0,Low,13.8,0.0,162.0,4.0,Mumbai Indians,7.0,0.0
KK Nair,114,8,False,1.9,8,Opener,25.76666549514773,155.0,58.75,34.0,65.2549943354092,2.0,121.89999999999998,1.11,0.25,0.38,6.0,Low,81.3,0.0,158.0,3.0,Delhi Capitals,2.0,0.0
M Theekshana,115,8,False,3.2,11,Pure Bowler,16.721082878696393,150.0,41.63636363636363,41.0,27.11188937448929,10.0,75.0,0.65,0.27,0.36,9.0,Medium,2.2,91.3,155.0,5.0,Rajasthan Royals,9.0,3.8
MM Ali,116,8,False,2.7,6,Pure Bowler,29.154284142263258,146.0,47.0,51.5,31.12555220393688,11.0,78.5,0.66,0.33,0.5,5.0,Low,1.8,86.9,150.0,4.0,Kolkata Knight Riders,8.0,2.7
PWH de Silva,117,8,False,2.7,11,Pure Bowler,15.828518643110884,142.0,43.63636363636363,39.0,44.8135531447189,5.0,72.0,1.03,0.36,0.18,9.0,Medium,1.5,86.9,146.0,4.0,Rajasthan Royals,6.0,3.7
I Sharma,118,8,False,2.8,7,Pure Bowler,27.65539740890481,138.0,27.0,39.0,16.502525059315417,7.4,40.4,0.61,0.29,0.0,5.0,Low,0.0,86.2,142.0,4.0,Gujarat Titans,,2.6
RD Gaikwad,119,8,False,0.7,5,Top Order Bat,27.49613679638903,137.0,55.2,13.0,62.87447812904692,7.0,124.2,1.14,0.6,0.4,5.0,Low,81.2,0.0,138.0,1.0,Chennai Super Kings,3.0,0.0
Sandeep Sharma,120,8,False,9.5,10,Pure Bowler,15.487187626503236,124.0,36.8,37.5,22.74887054583394,11.1,67.0,0.62,0.2,0.2,8.0,Medium,1.6,90.2,137.0,13.0,Rajasthan Royals,11.0,3.6
Rashid Khan,121,8,False,0.8,15,Pure Bowler,10.23868695735677,123.0,36.8,29.0,32.56904753201814,4.4,73.0,0.89,0.33,0.2,12.0,High,11.6,70.3,124.0,1.0,Gujarat Titans,7.0,3.7
R Ashwin,122,8,False,2.4,9,Pure Bowler,17.078830666611992,120.0,40.44444444444444,40.0,26.828674543811847,12.4,70.2,0.66,0.22,0.22,7.0,Medium,14.0,73.4,123.0,3.0,Chennai Super Kings,4.0,3.4
DJ Hooda,123,8,False,1.7,6,Middle Order Bat,23.59844220268453,118.0,15.333333333333334,6.5,19.012276735485067,3.5,36.0,1.24,0.67,0.0,5.0,Low,46.7,1.1,120.0,2.0,Chennai Super Kings,8.0,0.2
PVD Chameera,124,8,False,0.8,6,Pure Bowler,23.43928065605316,117.0,27.33333333333333,37.5,19.345972879818337,2.5,42.0,0.71,0.33,0.0,5.0,Low,6.1,87.8,118.0,1.0,Delhi Capitals,9.0,2.8
Mohammed Shami,125,8,False,3.4,9,Pure Bowler,16.082856653476988,113.0,31.33333333333333,38.0,27.97320146139873,0.8,56.00000000000001,0.89,0.44,0.11,7.0,Medium,5.0,85.1,117.0,4.0,Sunrisers Hyderabad,10.0,3.3
SM Curran,126,8,False,2.7,5,Batting AR,21.985171065322035,110.0,57.6,22.0,72.73444850962989,14.4,131.0,1.26,0.2,0.2,5.0,Low,71.5,16.7,113.0,3.0,Chennai Super Kings,3.0,2.4
Vijaykumar Vyshak,127,8,False,7.3,5,Pure Bowler,20.31876324742251,102.0,35.0,46.0,28.381331892636755,5.0,60.8,0.81,0.4,0.2,5.0,Low,0.0,90.9,110.0,8.0,Punjab Kings,,3.4
SP Narine,128,8,False,4.9,12,Batting AR,10.827184137506464,97.0,91.08333333333331,70.5,68.16618507646433,20.3,186.00000000000003,0.75,0.08,0.67,9.0,Medium,44.1,44.7,102.0,5.0,Kolkata Knight Riders,2.0,3.8
Zeeshan Ansari,129,8,False,6.2,10,Pure Bowler,11.344427431244137,91.0,29.4,19.0,32.301358760550265,5.4,54.09999999999998,1.1,0.5,0.1,8.0,Medium,0.0,81.6,97.0,6.0,Sunrisers Hyderabad,,3.4
DP Conway,130,8,False,7.7,6,Opener,16.847638754570347,84.0,52.333333333333336,23.0,52.08710652999134,15.5,118.5,1.0,0.17,0.33,5.0,Low,86.0,0.0,91.0,7.0,Chennai Super Kings,2.0,0.0
F du Plessis,131,8,False,17.9,9,Opener,9.869363491059424,69.0,47.55555555555556,34.0,46.84311878790499,5.4,118.4,0.99,0.44,0.33,7.0,Medium,81.8,0.0,84.0,15.0,Delhi Capitals,2.0,0.0
Akash Deep,132,8,False,15.9,6,Pure Bowler,11.550240767008148,58.0,24.166666666666668,11.5,27.80947080882099,5.0,56.0,1.15,0.5,0.17,5.0,Low,8.3,91.7,69.0,11.0,Lucknow Super Giants,8.0,3.2
R Ravindra,133,8,False,10.3,8,Opener,8.58753256972787,52.0,46.125,39.5,42.56906153534513,7.7,89.8,0.92,0.5,0.5,6.0,Low,83.7,0.0,58.0,6.0,Chennai Super Kings,1.0,0.0
Prince Yadav,134,8,False,23.1,6,Pure Bowler,7.97252986798425,40.0,35.0,31.0,26.260236099471765,10.5,63.5,0.75,0.5,0.33,5.0,Low,2.4,74.8,52.0,12.0,Lucknow Super Giants,9.0,3.8
Q de Kock,135,8,False,40.0,8,Opener,3.9346209241400913,24.0,42.25,13.0,67.8669917664587,5.0,99.99999999999996,1.61,0.62,0.12,6.0,Low,82.2,0.0,40.0,16.0,Kolkata Knight Riders,1.0,0.0
MM Sharma,136,8,False,50.0,8,Pure Bowler,1.976341315233292,12.0,15.0,9.5,16.449055552566797,0.4000000000000001,39.5,1.1,0.75,0.0,6.0,Low,0.8,77.5,24.0,12.0,Delhi Capitals,11.0,3.1
Rahmanullah Gurbaz,137,8,False,225.0,5,Opener,-2.994837971119509,-15.0,36.8,25.0,31.673332631726648,8.2,71.2,0.86,0.4,0.4,5.0,Low,76.1,0.0,12.0,27.0,Kolkata Knight Riders,1.0,0.0
SK Rasheed,138,8,False,-86.7,5,Opener,-5.613088434483629,-28.0,30.2,27.0,24.201239637671456,11.2,52.60000000000001,0.8,0.2,0.2,5.0,Low,80.1,0.0,-15.0,13.0,Chennai Super Kings,1.0,0.0
RA Tripathi,139,8,False,-42.9,5,Top Order Bat,-8.097935051962978,-40.0,22.6,24.0,14.808781178746615,8.8,37.0,0.66,0.4,0.0,5.0,Low,75.2,0.0,-28.0,12.0,Chennai Super Kings,3.0,0.0
Fazalhaq Farooqi,140,8,False,-7.5,5,Pure Bowler,-8.52984449479267,-43.0,5.4,6.0,4.61519230368573,1.0,10.0,0.85,1.0,0.0,5.0,Low,7.4,92.6,-40.0,3.0,Rajasthan Royals,11.0,3.4
J Fraser-McGurk,141,8,True,-123.3,6,Opener,-19.17267751256209,-96.0,23.83333333333333,12.5,33.126525122123304,3.5,55.5,1.39,0.5,0.17,5.0,Low,66.4,0.0,-43.0,53.0,Delhi Capitals,1.0,0.0
